test,algorithm,result,time_us
671337313517162274736137166625,alphabeta,true,14
724426633665427464467135277713322,negamax,true,3
724426633665427464467135277713322,alphabeta,true,3
26152653322136634677576524721,negamax,true,25210
26152653322136634677576524721,alphabeta,true,587
7134177657121331734122334222646475455656,negamax,true,0
7134177657121331734122334222646475455656,alphabeta,true,0
55544463222315723417163427535141712366,negamax,true,0
55544463222315723417163427535141712366,alphabeta,true,0
2365735775473244231263235156756276411,negamax,true,0
2365735775473244231263235156756276411,alphabeta,true,0
5351252463263713771262625511175,negamax,true,60
5351252463263713771262625511175,alphabeta,true,17
1246652731765175642453216447355212761743,negamax,true,0
1246652731765175642453216447355212761743,alphabeta,true,0
65163631747317535254246533477742546126,negamax,true,0
65163631747317535254246533477742546126,alphabeta,true,0
632131362752266425527575661477514173133,negamax,true,0
632131362752266425527575661477514173133,alphabeta,true,0
3575213524612243543117121734354245,negamax,true,0
3575213524612243543117121734354245,alphabeta,true,0
54315521633364265177472556321131667422,negamax,true,0
54315521633364265177472556321131667422,alphabeta,true,0
4135614326115446311565436527365347227777,negamax,true,0
4135614326115446311565436527365347227777,alphabeta,true,0
6121455117152514634356336576722,negamax,true,55
6121455117152514634356336576722,alphabeta,true,21
162763511717327445577335341162225,negamax,true,93
162763511717327445577335341162225,alphabeta,true,33
22264616135732655536513176725,negamax,true,290
22264616135732655536513176725,alphabeta,true,78
3257422513267365666657715143273215,negamax,true,0
3257422513267365666657715143273215,alphabeta,true,1
7375363223321275365761176227554,negamax,true,24
7375363223321275365761176227554,alphabeta,true,10
7574351513437646536627543374245122671,negamax,true,5
7574351513437646536627543374245122671,alphabeta,true,2
473457735543145756116234731734,negamax,true,750
473457735543145756116234731734,alphabeta,true,74
31161436231375514162762677336,negamax,true,1209
31161436231375514162762677336,alphabeta,true,107
7674571355564732621771632445541312664,negamax,true,1
7674571355564732621771632445541312664,alphabeta,true,1
5664257525274755427162647641617411233331,negamax,true,0
5664257525274755427162647641617411233331,alphabeta,true,0
15553572725743113217732374225141443646,negamax,true,0
15553572725743113217732374225141443646,alphabeta,true,0
531633412573473732555776574121142,negamax,true,7
531633412573473732555776574121142,alphabeta,true,5
61112547667441142275132277424365673655533,negamax,true,0
61112547667441142275132277424365673655533,alphabeta,true,0
463664536261521546311273242457332,negamax,true,18
463664536261521546311273242457332,alphabeta,true,13
326615663752621323655335514271,negamax,true,15
326615663752621323655335514271,alphabeta,true,5
71165555742443273243763213427724,negamax,true,155
71165555742443273243763213427724,alphabeta,true,46
161452652223115233627734653135566717,negamax,true,0
161452652223115233627734653135566717,alphabeta,true,0
74425337641465475671176741236615215533,negamax,true,0
74425337641465475671176741236615215533,alphabeta,true,0
32162751756771355671355274632416432163244,negamax,true,0
32162751756771355671355274632416432163244,alphabeta,true,0
524216226637772126164361744551551,negamax,true,4
524216226637772126164361744551551,alphabeta,true,2
1576663267233361422642121117554,negamax,true,0
1576663267233361422642121117554,alphabeta,true,0
6343274434344672215273311526556215,negamax,true,15
6343274434344672215273311526556215,alphabeta,true,5
1313327526554131647611374372646,negamax,true,574
1313327526554131647611374372646,alphabeta,true,85
36454347246745616376336347211212717,negamax,true,0
36454347246745616376336347211212717,alphabeta,true,1
23135456174511325333222576644421467616,negamax,true,0
23135456174511325333222576644421467616,alphabeta,true,0
37342133236232526427711116166777,negamax,true,2
37342133236232526427711116166777,alphabeta,true,0
736432547357137433465775442162551,negamax,true,2
736432547357137433465775442162551,alphabeta,true,1
65323776614155213553376652122427,negamax,true,59
65323776614155213553376652122427,alphabeta,true,16
245742673445231642226677515746163,negamax,true,102
245742673445231642226677515746163,alphabeta,true,51
341236533542227571766567145126312,negamax,true,78
341236533542227571766567145126312,alphabeta,true,36
661556433457252231661613114325732,negamax,true,21
661556433457252231661613114325732,alphabeta,true,3
11617255152412223243461443755,negamax,true,3438
11617255152412223243461443755,alphabeta,true,190
4723225734625174272467763531446513535,negamax,true,2
4723225734625174272467763531446513535,alphabeta,true,1
41475323467164226325421231114336556,negamax,true,3
41475323467164226325421231114336556,alphabeta,true,2
77336231335737515556216511771624626,negamax,true,0
77336231335737515556216511771624626,alphabeta,true,0
32113735114523512272777153652673,negamax,true,2
32113735114523512272777153652673,alphabeta,true,1
652331172222457134742634464673135775,negamax,true,6
652331172222457134742634464673135775,alphabeta,true,3
41157313573623152655422176126627,negamax,true,1230
41157313573623152655422176126627,alphabeta,true,78
52751626222765267437674374433416331155511,negamax,true,0
52751626222765267437674374433416331155511,alphabeta,true,0
45512272164216512124665566753,negamax,true,200
45512272164216512124665566753,alphabeta,true,28
34441157374153736716346556774311552222,negamax,true,0
34441157374153736716346556774311552222,alphabeta,true,0
557671311761447661663222331375,negamax,true,2
557671311761447661663222331375,alphabeta,true,2
73711455213245356452463362145367227167174,negamax,true,0
73711455213245356452463362145367227167174,alphabeta,true,0
57571521273372553771133411265426,negamax,true,2
57571521273372553771133411265426,alphabeta,true,1
63411624267622313431756753411657735527244,negamax,true,0
63411624267622313431756753411657735527244,alphabeta,true,0
743147475311235374153667575364254661,negamax,true,2
743147475311235374153667575364254661,alphabeta,true,3
13221637674233315611217775236,negamax,true,370
13221637674233315611217775236,alphabeta,true,53
35371324637717563211665236277265,negamax,true,108
35371324637717563211665236277265,alphabeta,true,17
73337267741442232214473741513516265,negamax,true,1
73337267741442232214473741513516265,alphabeta,true,1
4652554254441727611466627637231573115733,negamax,true,0
4652554254441727611466627637231573115733,alphabeta,true,0
422273444275564571264157762567533,negamax,true,12
422273444275564571264157762567533,alphabeta,true,8
62333544634137272131752556461465177257642,negamax,true,0
62333544634137272131752556461465177257642,alphabeta,true,0
12514726155174536522772517671,negamax,true,94
12514726155174536522772517671,alphabeta,true,30
5342133617653345412111327674525657676,negamax,true,0
5342133617653345412111327674525657676,alphabeta,true,0
57436215546655561632673221774224,negamax,true,1527
57436215546655561632673221774224,alphabeta,true,114
13377634162752622457544414336266211,negamax,true,5
13377634162752622457544414336266211,alphabeta,true,4
332166312711276477164432435466555521,negamax,true,66
332166312711276477164432435466555521,alphabeta,true,10
3676667731372526727121651543335,negamax,true,35
3676667731372526727121651543335,alphabeta,true,6
62456625325371143255267244541167413,negamax,true,4
62456625325371143255267244541167413,alphabeta,true,3
6346516555553413114311436442377227277272,negamax,true,0
6346516555553413114311436442377227277272,alphabeta,true,0
434441636425271214325331377527661167527,negamax,true,1
434441636425271214325331377527661167527,alphabeta,true,0
6627513412261243434662623435755,negamax,true,911
6627513412261243434662623435755,alphabeta,true,93
1713214542552442615742451312753,negamax,true,173
1713214542552442615742451312753,alphabeta,true,26
27542661356115144656126123355342,negamax,true,0
27542661356115144656126123355342,alphabeta,true,0
4632263444124617222171516514573366753,negamax,true,2
4632263444124617222171516514573366753,alphabeta,true,2
3513265333547163177727167665521,negamax,true,40
3513265333547163177727167665521,alphabeta,true,14
6412363551515544423325634641136,negamax,true,172
6412363551515544423325634641136,alphabeta,true,14
524653332256623414472524557673341711,negamax,true,4
524653332256623414472524557673341711,alphabeta,true,2
545712124632266433465225571147,negamax,true,8412
545712124632266433465225571147,alphabeta,true,630
512544576346755736772227654216233331416,negamax,true,0
512544576346755736772227654216233331416,alphabeta,true,0
33633737511156576175761164444765342542,negamax,true,0
33633737511156576175761164444765342542,alphabeta,true,0
56166146423261152341216473547,negamax,true,954
56166146423261152341216473547,alphabeta,true,114
72266725371541716377235513522511644664334,negamax,true,0
72266725371541716377235513522511644664334,alphabeta,true,0
564414111461617227324564266377573733,negamax,true,1
564414111461617227324564266377573733,alphabeta,true,1
47326565227476132357733221316615461751544,negamax,true,0
47326565227476132357733221316615461751544,alphabeta,true,0
32543544447733417277713515216156321522666,negamax,true,0
32543544447733417277713515216156321522666,alphabeta,true,0
475441167453247721652552425273,negamax,true,4
475441167453247721652552425273,alphabeta,true,3
42577414436732671615644631565377215513,negamax,true,0
42577414436732671615644631565377215513,alphabeta,true,0
4242276617151162517666552153523447377443,negamax,true,0
4242276617151162517666552153523447377443,alphabeta,true,0
456276274266462724276371741543,negamax,true,13
456276274266462724276371741543,alphabeta,true,9
712571271166563567166743254272,negamax,true,1
712571271166563567166743254272,alphabeta,true,5
246254655267722574364533641533611241173,negamax,true,0
246254655267722574364533641533611241173,alphabeta,true,0
1267354235412736561671536772762554,negamax,true,167
1267354235412736561671536772762554,alphabeta,true,18
55652251124717734274112753673513266334,negamax,true,0
55652251124717734274112753673513266334,alphabeta,true,0
2154161454476562367253251151743324,negamax,true,70
2154161454476562367253251151743324,alphabeta,true,11
7211533245325536242316615361517,negamax,true,277
7211533245325536242316615361517,alphabeta,true,63
5327274145773234475225457541321,negamax,true,175
5327274145773234475225457541321,alphabeta,true,11
76261532672751646635552252333177111,negamax,true,1
76261532672751646635552252333177111,alphabeta,true,11
33756525572635413225374473726476,negamax,true,88
33756525572635413225374473726476,alphabeta,true,48
6146751735612247133174335661236572224475,negamax,true,0
6146751735612247133174335661236572224475,alphabeta,true,0
12241427723644146641135127767763356235,negamax,true,0
12241427723644146641135127767763356235,alphabeta,true,0
66333444714334751354116675176,negamax,true,2685
66333444714334751354116675176,alphabeta,true,183
711221144125417522453372543663376546,negamax,true,22
711221144125417522453372543663376546,alphabeta,true,6
13572574574336771444755135121,negamax,true,1001
13572574574336771444755135121,alphabeta,true,289
31711653336664363224651775122142755774,negamax,true,0
31711653336664363224651775122142755774,alphabeta,true,0
322176534514613264332453426667724117571,negamax,true,0
322176534514613264332453426667724117571,alphabeta,true,0
5722154313445541142112455333227676736,negamax,true,0
5722154313445541142112455333227676736,alphabeta,true,0
7626745476122763521226763753414115,negamax,true,6
7626745476122763521226763753414115,alphabeta,true,3
1222376543225523156773766436775346541144,negamax,true,0
1222376543225523156773766436775346541144,alphabeta,true,0
4766635436535425165573126223473711,negamax,true,25
4766635436535425165573126223473711,alphabeta,true,10
2316261177141456635241744767245562,negamax,true,113
2316261177141456635241744767245562,alphabeta,true,26
336176327473676264173126455317452,negamax,true,286
336176327473676264173126455317452,alphabeta,true,113
7275266736656224513416453475524423317713,negamax,true,0
7275266736656224513416453475524423317713,alphabeta,true,0
2525453157437721753235142343772116,negamax,true,2
2525453157437721753235142343772116,alphabeta,true,2
77717442447164154627151133323236232,negamax,true,2
77717442447164154627151133323236232,alphabeta,true,2
212511372171451342247267463534,negamax,true,463
212511372171451342247267463534,alphabeta,true,40
754543545447541571137367273612,negamax,true,1307
754543545447541571137367273612,alphabeta,true,125
145141142554355171365473322772264,negamax,true,93
145141142554355171365473322772264,alphabeta,true,11
121731455645661151446723475572422,negamax,true,17
121731455645661151446723475572422,alphabeta,true,4
471346772314634711662437137346261,negamax,true,1
471346772314634711662437137346261,alphabeta,true,1
74241572445765773245152741513133,negamax,true,21
74241572445765773245152741513133,alphabeta,true,4
32374265746742266767547622145,negamax,true,227
32374265746742266767547622145,alphabeta,true,73
72466516556477525246511421136744173233723,negamax,true,0
72466516556477525246511421136744173233723,alphabeta,true,0
2421176752333212662665751151657445743,negamax,true,4
2421176752333212662665751151657445743,alphabeta,true,1
1727126241776745736514411546534526252633,negamax,true,0
1727126241776745736514411546534526252633,alphabeta,true,0
36524571542351776551323614342223477761461,negamax,true,0
36524571542351776551323614342223477761461,alphabeta,true,0
32661456543252361445432717415323661152,negamax,true,0
32661456543252361445432717415323661152,alphabeta,true,0
1626521411226325661652143543734575344773,negamax,true,0
1626521411226325661652143543734575344773,alphabeta,true,0
3241145171732273522645451776672,negamax,true,107
3241145171732273522645451776672,alphabeta,true,30
21176223773245661677416571265444125,negamax,true,5
21176223773245661677416571265444125,alphabeta,true,5
51157274117637535335152717444443266663622,negamax,true,0
51157274117637535335152717444443266663622,alphabeta,true,0
71222432614122466366744411561737733,negamax,true,1
71222432614122466366744411561737733,alphabeta,true,0
315673216317152634716277223755255,negamax,true,12
315673216317152634716277223755255,alphabeta,true,10
2532217274214444146211356717737533536,negamax,true,0
2532217274214444146211356717737533536,alphabeta,true,0
11513154335437461536136677566452744,negamax,true,0
11513154335437461536136677566452744,alphabeta,true,0
7654776675256624444643117711331235,negamax,true,25
7654776675256624444643117711331235,alphabeta,true,9
347466342553524733255764745631661121127,negamax,true,0
347466342553524733255764745631661121127,alphabeta,true,0
36651326227232515767351624741116,negamax,true,83
36651326227232515767351624741116,alphabeta,true,17
257273654751353267257126613452117334616,negamax,true,0
257273654751353267257126613452117334616,alphabeta,true,0
36527176732463353744161566412441125772,negamax,true,1
36527176732463353744161566412441125772,alphabeta,true,1
61771566546513437644572641471,negamax,true,27
61771566546513437644572641471,alphabeta,true,11
17227416631324662771525327416733165,negamax,true,1
17227416631324662771525327416733165,alphabeta,true,1
635612533521556742126777167547612,negamax,true,9
635612533521556742126777167547612,alphabeta,true,5
35632152463737741254111755645173224324,negamax,true,0
35632152463737741254111755645173224324,alphabeta,true,0
75175462454433732336461324222161166,negamax,true,27
75175462454433732336461324222161166,alphabeta,true,4
235343157637264213475475514425311761766,negamax,true,0
235343157637264213475475514425311761766,alphabeta,true,0
673466551526416747746423515427533237321,negamax,true,0
673466551526416747746423515427533237321,alphabeta,true,0
5744625253727174476144263366111,negamax,true,589
5744625253727174476144263366111,alphabeta,true,61
67255217565535272362732377313616611,negamax,true,0
67255217565535272362732377313616611,alphabeta,true,0
14717157225616276372276665455121,negamax,true,7
14717157225616276372276665455121,alphabeta,true,4
61151145221126576476226744257647,negamax,true,6
61151145221126576476226744257647,alphabeta,true,1
26147775643744425655347565333,negamax,true,5757
26147775643744425655347565333,alphabeta,true,840
3734133322575154142545354647716726176266,negamax,true,0
3734133322575154142545354647716726176266,alphabeta,true,0
5445715774413366377411635376556623421122,negamax,true,0
5445715774413366377411635376556623421122,alphabeta,true,0
24763233527423124256453513746,negamax,true,3380
24763233527423124256453513746,alphabeta,true,40
22726477721346244337156436325366555,negamax,true,12
22726477721346244337156436325366555,alphabeta,true,7
553441572767715224731512235666337166,negamax,true,2
553441572767715224731512235666337166,alphabeta,true,2
215211625424277276665415665177,negamax,true,522
215211625424277276665415665177,alphabeta,true,190
7344333222357623754714114772411155256,negamax,true,0
7344333222357623754714114772411155256,alphabeta,true,0
32616333713725611721734277264,negamax,true,1749
32616333713725611721734277264,alphabeta,true,87
37722176125735517261461663716522355,negamax,true,0
37722176125735517261461663716522355,alphabeta,true,0
455152246672777617416174462326,negamax,true,1836
455152246672777617416174462326,alphabeta,true,94
453311667775446742321771364135514,negamax,true,3
453311667775446742321771364135514,alphabeta,true,2
73623227532664476316523773254556744,negamax,true,3
73623227532664476316523773254556744,alphabeta,true,3
2234233713673272772715315511456,negamax,true,20
2234233713673272772715315511456,alphabeta,true,1
571661222213427525435551361136744,negamax,true,8
571661222213427525435551361136744,alphabeta,true,4
7522745647553215577666223213136461,negamax,true,4
7522745647553215577666223213136461,alphabeta,true,2
721465313316322566416737572477,negamax,true,1082
721465313316322566416737572477,alphabeta,true,153
574331641621757135471271334735522,negamax,true,31
574331641621757135471271334735522,alphabeta,true,12
12323353157221355146575364767276162744,negamax,true,0
12323353157221355146575364767276162744,alphabeta,true,0
73532652141726521567746755662271333411,negamax,true,0
73532652141726521567746755662271333411,alphabeta,true,0
741564374565535457117414166626213,negamax,true,134
741564374565535457117414166626213,alphabeta,true,22
7214367222466576163263111243477134,negamax,true,28
7214367222466576163263111243477134,alphabeta,true,8
74624165764117663575545377446135131,negamax,true,0
74624165764117663575545377446135131,alphabeta,true,0
46472445375121136551453523421,negamax,true,24855
46472445375121136551453523421,alphabeta,true,146
57213724365233732431167172174421566565654,negamax,true,0
57213724365233732431167172174421566565654,alphabeta,true,0
553111312566546717444477713367364635522,negamax,true,0
553111312566546717444477713367364635522,alphabeta,true,1
1126533332457256766777753554664141,negamax,true,8
1126533332457256766777753554664141,alphabeta,true,8
77711664253165461775237646441451233,negamax,true,5
77711664253165461775237646441451233,alphabeta,true,2
656111255627271542471671672526,negamax,true,35
656111255627271542471671672526,alphabeta,true,15
62545731311224667224761135435357,negamax,true,2207
62545731311224667224761135435357,alphabeta,true,225
72171136136337326616767734214,negamax,true,266
72171136136337326616767734214,alphabeta,true,25
7757773257231346234144653122551152344,negamax,true,0
7757773257231346234144653122551152344,alphabeta,true,0
136262243413261155223714636146555,negamax,true,0
136262243413261155223714636146555,alphabeta,true,0
2317341651666134413473525715426477,negamax,true,72
2317341651666134413473525715426477,alphabeta,true,17
23225744227127613717766633114613,negamax,true,2
23225744227127613717766633114613,alphabeta,true,1
6245315676125735441136636227457325214137,negamax,true,0
6245315676125735441136636227457325214137,alphabeta,true,0
315572632753642126526461431432,negamax,true,3999
315572632753642126526461431432,alphabeta,true,344
31156377761323521533645257757,negamax,true,67
31156377761323521533645257757,alphabeta,true,13
76667254676674254555745112142711,negamax,true,33
76667254676674254555745112142711,alphabeta,true,20
42256112547344662335632375234664751157,negamax,true,1
